,Año,Semana,Finca,Cajas,Bolsas,Cajas por Hectarea
201,2023,4,Damaquiel,25,13.76,1.8573551263001484
202,2023,4,Pedrito,222,110.96,5.316091954022989
203,2023,4,San Pedro,524,54.24,12.93188548864758
204,2023,4,Uveros,38,9.96,4.75
205,2023,5,Damaquiel,50,24.2,3.714710252600297
206,2023,5,San Pedro,616,89.64000000000001,15.202369200394864
207,2023,5,Uveros,50,15.04,6.25
208,2023,6,Damaquiel,11,3.9068,0.8172362555720654
209,2023,6,Pedrito,307,116.2,7.351532567049809
210,2023,6,San Pedro,650,98.818,16.04146100691017
211,2023,6,Uveros,42,14.918400000000002,5.25
212,2023,7,Damaquiel,43,18.08,3.1946508172362553
213,2023,7,Pedrito,148,91,3.5440613026819925
214,2023,7,San Pedro,505,71.36,12.462981243830207
215,2023,7,Uveros,64,12.6,8.0
216,2023,8,Damaquiel,38,30,2.8231797919762256
217,2023,8,Pedrito,159,74,3.807471264367816
218,2023,8,San Pedro,540,80.676,13.32675222112537
219,2023,8,Uveros,63,19,7.875
220,2023,9,San Pedro,604,75.218,14.906219151036524
221,2023,9,Uveros,70,21.68,8.75
222,2023,10,Damaquiel,88,39,6.537890044576523
223,2023,10,Pedrito,324,161.84,7.758620689655173
224,2023,10,San Pedro,654,121.348,16.140177690029613
225,2023,10,Uveros,86,21,10.75
226,2023,11,Damaquiel,62,21.68,4.606240713224368
227,2023,11,Pedrito,208,85.16,4.980842911877395
228,2023,11,San Pedro,567,97.08,13.993089832181637
229,2023,11,Uveros,103,21.64,12.875
230,2023,12,Damaquiel,64,23.28,4.75482912332838
231,2023,12,Pedrito,145,56.2,3.4722222222222223
232,2023,12,San Pedro,454,97.4,11.204343534057255
233,2023,12,Uveros,60,13.36,7.5
234,2023,13,Damaquiel,81,29.28,6.017830609212481
235,2023,13,Pedrito,199,39.92,4.765325670498084
236,2023,13,San Pedro,558,122.2,13.770977295162881
237,2023,13,Uveros,105,33.56,13.125
238,2023,14,Pedrito,44,44.72,1.053639846743295
239,2023,14,San Pedro,144,30.6,3.5538005923000986
240,2023,14,Uveros,35,21.12,4.375
241,2023,15,Damaquiel,83,48,6.166419019316493
242,2023,15,Pedrito,325,121.64,7.78256704980843
243,2023,15,San Pedro,776,148.6008,19.151036525172753
244,2023,15,Uveros,92,24.92,11.5
245,2023,16,Damaquiel,58,26.24,4.3090638930163445
246,2023,16,Pedrito,255,86.36,6.10632183908046
247,2023,16,San Pedro,329,85.88000000000001,8.119447186574531
248,2023,16,Uveros,62,23.2,7.75
249,2023,17,Damaquiel,48,22.52,3.566121842496285
250,2023,17,Pedrito,79,50.04,1.8917624521072798
251,2023,17,San Pedro,306,86.72,7.551826258637709
252,2023,17,Uveros,55,21.92,6.875
253,2023,18,Damaquiel,53,10.16,3.937592867756315
254,2023,18,Pedrito,157,91.6,3.759578544061303
255,2023,18,San Pedro,297,145.48000000000002,7.329713721618953
256,2023,18,Uveros,57,20.6,7.125
257,2023,19,Damaquiel,58,17.72,4.3090638930163445
258,2023,19,Pedrito,165,68.28,3.9511494252873565
259,2023,19,San Pedro,266,114.28,6.564659427443238
260,2023,19,Uveros,51,23.32,6.375
261,2023,20,Damaquiel,42,43.88,3.1203566121842496
262,2023,20,Pedrito,158,117.44,3.7835249042145596
263,2023,20,San Pedro,191,144.88,4.713721618953603
264,2023,20,Uveros,43,28.52,5.375
265,2023,21,Damaquiel,50,24.84,3.714710252600297
266,2023,21,Pedrito,114,40,2.7298850574712645
267,2023,21,San Pedro,235,82.08,5.799605133267522
268,2023,21,Uveros,50,21.52,6.25
269,2023,22,Damaquiel,28,26.64,2.080237741456166
270,2023,22,Pedrito,152,54.8,3.6398467432950192
271,2023,22,San Pedro,183,63.44,4.516288252714708
272,2023,23,Damaquiel,24,5.32,1.7830609212481425
273,2023,23,San Pedro,22,12.72,0.5429417571569595
274,2023,23,Uveros,40,21.44,5.0
275,2023,24,Damaquiel,43,12.32,3.1946508172362553
276,2023,24,Pedrito,142,80.04,3.400383141762452
277,2023,24,San Pedro,178,66.6712,4.392892398815399
278,2023,24,Uveros,50,46,6.25
279,2023,25,Damaquiel,49,26.84,3.640416047548291
280,2023,25,Pedrito,210,104,5.028735632183908
281,2023,25,San Pedro,175,79.56,4.318854886475814
282,2023,26,Damaquiel,27,12.88,2.0059435364041605
283,2023,26,Pedrito,176,85.2,4.21455938697318
284,2023,26,San Pedro,208,66.12,5.133267522211254
285,2023,26,Uveros,54,21.28,6.75
286,2023,27,Damaquiel,34,15.88,2.526002971768202
287,2023,27,Pedrito,132,82.36,3.160919540229885
288,2023,27,San Pedro,165,64.16,4.072063178677197
289,2023,27,Uveros,30,12.88,3.75
290,2023,28,Damaquiel,31,22.88,2.303120356612184
291,2023,28,Pedrito,70,54.2,1.6762452107279695
292,2023,28,San Pedro,198,61.28,4.886475814412635
